scenario,season,alpha,cost_baseline_usd,cost_optimized_usd,cost_savings_usd,cost_savings_pct,cost_savings_annualized_usd,carbon_baseline_lbs,carbon_optimized_lbs,carbon_savings_lbs,carbon_savings_pct,carbon_savings_tons,carbon_savings_annualized_tons,battery_enabled,battery_capacity_mwh,battery_power_mw,battery_duration_hours,battery_capex_usd,battery_annualized_capex_usd,battery_fixed_om_usd_per_year,battery_annual_ownership_cost_usd,battery_weekly_ownership_cost_usd,battery_throughput_mwh,battery_degradation_cost_usd,cost_savings_usd_battery_off,carbon_savings_tons_battery_off,incremental_bess_savings_usd,incremental_bess_carbon_tons,net_incremental_bess_value_usd,net_incremental_bess_value_annual_usd,bess_should_be_included
bess_100mw_200mwh,summer,1.0,3967829.317454759,3451683.9150652946,516145.40238946443,13.008256179743032,26839560.924252152,78997553.16588843,78883070.95489061,114482.2109978199,0.14491867964241448,57.24110549890995,2976.5374859433177,True,200.0,100.0,2.0,85400000.0,9376460.949465955,2135000.0,11511460.949465955,221374.24902819144,2075.1354494315156,10375.677247157579,421120.020002862,20.05784561739862,95025.38238660246,37.18325988151133,-136724.54388874656,-7109676.282214821,NO
bess_100mw_200mwh,winter,0.0,6545431.761824829,6571811.765483646,-26380.00365881715,-0.40302923655356476,-1371760.1902584918,79936160.06758304,79844505.23390104,91654.83368200064,0.11466004071813043,45.82741684100032,2383.0256757320167,True,200.0,100.0,2.0,85400000.0,9376460.949465955,2135000.0,11511460.949465955,221374.24902819144,9.077618659278105e-06,4.5388093296390524e-05,-26380.00668073632,45.8274150332883,0.0030219191685318947,1.80771202451524e-06,-221374.24605166036,-11511460.794686338,NO
bess_100mw_200mwh,winter,0.5,6545431.761824829,6497432.600057952,47999.16176687647,0.7333230795686209,2495956.4118775763,79936160.06758304,79717857.39252591,218302.67505712807,0.27309627441768697,109.15133752856404,5675.86955148533,True,200.0,100.0,2.0,85400000.0,9376460.949465955,2135000.0,11511460.949465955,221374.24902819144,148.63590780925452,743.1795390462726,34790.29415376764,37.19877045363188,13208.867613108829,71.95256707493216,-208908.5609541289,-10863245.169614702,NO
bess_100mw_200mwh,winter,1.0,6545431.761824829,6463841.685610253,81590.07621457521,1.2465193922032176,4242683.963157911,79936160.06758304,79766128.75707927,170031.31050376594,0.21270887963596302,85.01565525188298,4420.814073097915,True,200.0,100.0,2.0,85400000.0,9376460.949465955,2135000.0,11511460.949465955,221374.24902819144,2075.135385487516,10375.67692743758,55537.31057012547,38.287752264142036,26052.76564444974,46.72790298774094,-205697.16031117926,-10696252.336181322,NO
bess_100mw_200mwh,shoulder,0.0,1964987.2965997425,1912082.984145606,52904.312454136554,2.6923488281925967,2751024.247615101,44362586.61899865,43093149.97960993,1269436.6393887177,2.861502757472376,634.7183196943589,33005.352624106665,True,200.0,100.0,2.0,85400000.0,9376460.949465955,2135000.0,11511460.949465955,221374.24902819144,153.4666110349139,767.3330551745696,47677.46386825759,552.671998177372,5226.8485858789645,82.04632151698695,-216914.73349748703,-11279566.141869325,NO
bess_100mw_200mwh,shoulder,0.5,1964987.2965997425,1879309.7213071631,85677.57529257936,4.360210136769726,4455233.915214127,44362586.61899865,43350842.443314835,1011744.1756838113,2.2806248525881117,505.8720878419057,26305.348567779096,True,200.0,100.0,2.0,85400000.0,9376460.949465955,2135000.0,11511460.949465955,221374.24902819144,153.46661282583668,767.3330641291834,78868.89460098464,428.33308414104954,6808.680691594724,77.53900370085614,-215332.9014007259,-11197310.872837747,NO
bess_100mw_200mwh,shoulder,1.0,1964987.2965997425,1855704.8238875447,109282.4727121978,5.561484947068239,5682688.581034286,44362586.61899865,43716485.38014886,646101.2388497889,1.4564102052901728,323.0506194248945,16798.632210094514,True,200.0,100.0,2.0,85400000.0,9376460.949465955,2135000.0,11511460.949465955,221374.24902819144,197.57883845274085,987.8941922637043,102171.11987203918,247.33911025194078,7111.352840158623,75.7115091729537,-215250.79038029653,-11193041.099775419,NO
bess_200mw_500mwh,summer,0.0,3967829.317454759,3995058.72006071,-27229.402605950832,-0.6862543831249692,-1415928.9355094433,78997553.16588843,78568121.9352308,429431.2306576222,0.5436006729928098,214.7156153288111,11165.211997098178,True,500.0,200.0,2.5,194900000.0,21398972.354226165,4872500.0,26271472.354226165,505220.622196657,1.384665218909853e-05,6.923326094549265e-05,-27229.34160392033,214.71557544691862,-0.06100203050300479,3.9881892490711834e-05,-505220.68326792074,-26271475.52993188,NO
bess_200mw_500mwh,summer,0.5,3967829.317454759,3547088.691038709,420740.6264160499,10.603798519386467,21878512.573634595,78997553.16588843,78567316.33435681,430236.83153161407,0.5446204525197784,215.11841576580704,11186.157619821966,True,500.0,200.0,2.5,194900000.0,21398972.354226165,4872500.0,26271472.354226165,505220.622196657,2493.9670593338424,12469.835296669211,302673.60986210685,75.01565265048295,118067.01655394305,140.10276311532408,-399623.4409393832,-20780418.928847924,NO
bess_200mw_500mwh,summer,1.0,3967829.317454759,3363632.921846933,604196.3956078258,15.227378681586014,31418212.57160694,78997553.16588843,78779982.61874813,217570.54714030027,0.2754142861658257,108.78527357015014,5656.834225647807,True,500.0,200.0,2.5,194900000.0,21398972.354226165,4872500.0,26271472.354226165,505220.622196657,5187.838622449655,25939.19311224828,421120.020002862,20.05784561739862,183076.37560496386,88.72742795275153,-348083.4397039414,-18100338.864604954,NO
bess_200mw_500mwh,winter,0.0,6545431.761824829,6571811.751054329,-26379.989229500294,-0.403029016104901,-1371759.4399340153,79936160.06758304,79844505.22180557,91654.8457774669,0.1146600558495381,45.827422888733444,2383.0259902141393,True,500.0,200.0,2.5,194900000.0,21398972.354226165,4872500.0,26271472.354226165,505220.622196657,2.455106623530175e-05,0.00012275533117650874,-26380.00668073632,45.8274150332883,0.01745123602449894,7.855445147697537e-06,-505220.60486817634,-26271471.45314517,NO
bess_200mw_500mwh,winter,0.5,6545431.761824829,6497432.572661976,47999.18916285224,0.7333234981197077,2495957.8364683166,79936160.06758304,79717857.07088988,218302.9966931641,0.2730966767838198,109.15149834658206,5675.877914022267,True,500.0,200.0,2.5,194900000.0,21398972.354226165,4872500.0,26271472.354226165,505220.622196657,148.63575782530543,743.1787891265271,34790.29415376764,37.19877045363188,13208.895009084605,71.95272789295018,-492754.9059766989,-25623255.11078834,NO
bess_200mw_500mwh,winter,1.0,6545431.761824829,6425719.406388662,119712.35543616675,1.8289451298594186,6225042.482680671,79936160.06758304,79624213.12281781,311946.94476522505,0.3902450962136354,155.97347238261253,8110.620563895852,True,500.0,200.0,2.5,194900000.0,21398972.354226165,4872500.0,26271472.354226165,505220.622196657,4991.666658422057,24958.333292110285,55537.31057012547,38.287752264142036,64175.04486604128,117.6857201184705,-466003.910622726,-24232203.352381755,NO
bess_200mw_500mwh,shoulder,0.0,1964987.2965997425,1904242.7065665133,60744.59003322921,3.0913477221121477,3158718.681727919,44362586.61899865,42847011.03442751,1515575.584571138,3.4163372789495554,757.787792285569,39404.96519884959,True,500.0,200.0,2.5,194900000.0,21398972.354226165,4872500.0,26271472.354226165,505220.622196657,383.66654352610954,1918.3327176305477,47677.46386825759,552.671998177372,13067.126164971618,205.11579410819706,-494071.82874931593,-25691735.09496443,NO
bess_200mw_500mwh,shoulder,0.5,1964987.2965997425,1869096.697196506,95890.59940323653,4.879960270947692,4986311.168968299,44362586.61899865,43118225.46828748,1244361.1507111639,2.804978802066189,622.1805753555819,32353.389918490262,True,500.0,200.0,2.5,194900000.0,21398972.354226165,4872500.0,26271472.354226165,505220.622196657,383.6665367189952,1918.332683594976,78868.89460098464,428.33308414104954,17021.704802251887,193.8474912145324,-490117.25007800007,-25486097.004056003,NO
bess_200mw_500mwh,shoulder,1.0,1964987.2965997425,1845338.719967307,119648.57663243543,6.089025452707912,6221725.984886643,44362586.61899865,43488495.39881443,874091.2201842144,1.9703342090739984,437.0456100921072,22726.371724789577,True,500.0,200.0,2.5,194900000.0,21398972.354226165,4872500.0,26271472.354226165,505220.622196657,427.77876076198277,2138.893803809914,102171.11987203918,247.33911025194078,17477.45676039625,189.70649984016643,-489882.05924007064,-25473867.080483675,NO
bess_200mw_800mwh,summer,0.0,3967829.317454759,3995058.719677535,-27229.402222775854,-0.6862543734679263,-1415928.9155843444,78997553.16588843,78568121.93545866,429431.23042976856,0.5436006727043785,214.71561521488428,11165.211991173983,True,800.0,200.0,4.0,267200000.0,29337123.720108937,6680000.0,36017123.72010894,692636.9946174796,1.540740746966683e-05,7.703703734833416e-05,-27229.34160392033,214.71557544691862,-0.06061885552480817,3.976796566007579e-05,-692637.0553133722,-36017126.87629535,NO
bess_200mw_800mwh,summer,0.5,3967829.317454759,3537534.9980103346,430294.3194444245,10.844577349926059,22375304.611110073,78997553.16588843,78346624.51614004,650928.649748385,0.823985837107496,325.46432487419247,16924.144893458008,True,800.0,200.0,4.0,267200000.0,29337123.720108937,6680000.0,36017123.72010894,692636.9946174796,2243.7495045995265,11218.747522997633,302673.60986210685,75.01565265048295,127620.70958231762,250.44867222370954,-576235.0325581597,-29964221.693024304,NO
bess_200mw_800mwh,summer,1.0,3967829.317454759,3306907.6090660794,660921.7083886797,16.657009551324165,34367928.83621134,78997553.16588843,78645573.61963516,351979.54625326395,0.4455575295023829,175.98977312663197,9151.468202584863,True,800.0,200.0,4.0,267200000.0,29337123.720108937,6680000.0,36017123.72010894,692636.9946174796,8155.84855701454,40779.2427850727,421120.020002862,20.05784561739862,239801.6883858177,155.93192750923336,-493614.54901673464,-25667956.548870202,NO
bess_200mw_800mwh,winter,0.0,6545431.761824829,6571811.762433199,-26380.00060837064,-0.4030291899493586,-1371760.0316352732,79936160.06758304,79844505.23176964,91654.83581340313,0.11466004338451133,45.82741790670156,2383.025731148481,True,800.0,200.0,4.0,267200000.0,29337123.720108937,6680000.0,36017123.72010894,692636.9946174796,1.2335597545326641e-05,6.16779877266332e-05,-26380.00668073632,45.8274150332883,0.006072365678846836,2.873413265547242e-06,-692636.988606792,-36017123.40755318,NO
bess_200mw_800mwh,winter,0.5,6545431.761824829,6497432.530260872,47999.23156395648,0.7333241459166105,2495960.041325737,79936160.06758304,79717856.51760975,218303.54997329414,0.2730973689363195,109.15177498664707,5675.892299305648,True,800.0,200.0,4.0,267200000.0,29337123.720108937,6680000.0,36017123.72010894,692636.9946174796,148.63504167710568,743.1752083855283,34790.29415376764,37.19877045363188,13208.937410188839,71.95300453301519,-680171.2324156763,-35368904.08561517,NO
bess_200mw_800mwh,winter,1.0,6545431.761824829,6404982.543356183,140449.2184686456,2.145759417855258,7303359.360369571,79936160.06758304,79404303.1324923,531856.9350907356,0.6653521192925334,265.92846754536777,13828.280312359124,True,800.0,200.0,4.0,267200000.0,29337123.720108937,6680000.0,36017123.72010894,692636.9946174796,5221.866532373164,26109.332661865817,55537.31057012547,38.287752264142036,84911.90789852012,227.64071528122574,-633834.4193808254,-32959389.80780292,NO
bess_200mw_800mwh,shoulder,0.0,1964987.2965997425,1896402.431633147,68584.86496659555,3.490346481388267,3566412.9782629684,44362586.61899865,42600872.07156713,1761714.5474315137,3.971171840275528,880.8572737157568,45804.578233219356,True,800.0,200.0,4.0,267200000.0,29337123.720108937,6680000.0,36017123.72010894,692636.9946174796,613.8664413689503,3069.3322068447515,47677.46386825759,552.671998177372,20907.401098337956,328.1852755383849,-674798.9257259864,-35089544.13775129,NO
bess_200mw_800mwh,shoulder,0.5,1964987.2965997425,1858883.6761754835,106103.62042425899,5.399710247891324,5517388.262061467,44362586.61899865,42885608.45481093,1476978.1641877145,3.329332838214592,738.4890820938572,38401.43226888057,True,800.0,200.0,4.0,267200000.0,29337123.720108937,6680000.0,36017123.72010894,692636.9946174796,613.8664494563637,3069.3322472818186,78868.89460098464,428.33308414104954,27234.725823274348,310.15599795280764,-668471.6010414871,-34760523.25415733,NO
bess_200mw_800mwh,shoulder,1.0,1964987.2965997425,1834972.6163572432,130014.68024249934,6.616565942562561,6760763.3726099655,44362586.61899865,43260505.377617404,1102081.2413812429,2.4842583027141782,551.0406206906214,28654.11227591231,True,800.0,200.0,4.0,267200000.0,29337123.720108937,6680000.0,36017123.72010894,692636.9946174796,657.9786515176794,3289.893257588397,102171.11987203918,247.33911025194078,27843.560370460153,303.7015104386806,-668083.3275046078,-34740333.03023961,NO
