scenario,season,alpha,total_cost_norm_baseline,total_cost_norm_optimized,total_carbon_norm_baseline,total_carbon_norm_optimized,objective_norm_baseline,objective_norm_optimized,objective_norm_savings,solver_status
bess_200mw_500mwh,winter,0.6,71880.68079614085,71264.93739331485,80944.52456479322,80636.21759076646,75506.2183036018,75013.4494722955,492.7688313062972,optimal
bess_200mw_500mwh,winter,0.7,71880.68079614085,71160.45341291987,80944.52456479322,80539.23181376114,74599.83392673657,73974.08693317225,625.7469935643167,optimal
bess_200mw_500mwh,winter,0.8,71880.68079614085,71065.36050291256,80944.52456479322,80491.12409591381,73693.44954987132,72950.51322151281,742.9363283585117,optimal
bess_200mw_500mwh,winter,0.9,71880.68079614085,70879.67209841576,80944.52456479322,80555.96866753277,72787.06517300609,71847.30175532745,939.7634176786378,optimal
bess_200mw_500mwh,winter,1.0,71880.68079614085,70611.0920838613,80944.52456479322,80623.13130311319,71880.68079614085,70611.0920838613,1269.5887122795539,optimal
bess_200mw_500mwh,shoulder,0.0,43640.85175085891,42359.911961036734,41368.62068201877,40068.38690036316,41368.62068201877,40068.38690036316,1300.23378165561,optimal
bess_200mw_500mwh,shoulder,0.1,43640.85175085891,42286.57537666311,41368.62068201877,40060.429102269685,41595.84378890279,40283.043729709025,1312.800059193767,optimal
bess_200mw_500mwh,shoulder,0.2,43640.85175085891,42080.10995049919,41368.62068201877,40136.18518888371,41823.066895786804,40524.97014120681,1298.096754579994,optimal
bess_200mw_500mwh,shoulder,0.3,43640.85175085891,41953.450817821365,41368.62068201877,40152.91960519936,42050.29000267081,40693.07896898596,1357.211033684849,optimal
bess_200mw_500mwh,shoulder,0.4,43640.85175085891,41853.358441126795,41368.62068201877,40199.32206092643,42277.51310955483,40860.936613006575,1416.5764965482522,optimal
bess_200mw_500mwh,shoulder,0.5,43640.85175085891,41557.06013349893,41368.62068201877,40311.027677968086,42504.73621643884,40934.04390573351,1570.6923107053299,optimal
bess_200mw_500mwh,shoulder,0.6,43640.85175085891,41442.02530124819,41368.62068201877,40398.13459913436,42731.95932332285,41024.469020402656,1707.490302920196,optimal
bess_200mw_500mwh,shoulder,0.7,43640.85175085891,41152.661908243186,41368.62068201877,40576.63023200919,42959.18243020686,40979.852405372985,1979.3300248338783,optimal
bess_200mw_500mwh,shoulder,0.8,43640.85175085891,41077.859183485285,41368.62068201877,40595.2799168787,43186.40553709088,40981.34333016397,2205.0622069269157,optimal
bess_200mw_500mwh,shoulder,0.9,43640.85175085891,41060.04617906676,41368.62068201877,40614.19033933877,43413.62864397489,41015.46059509396,2398.168048880929,optimal
bess_200mw_500mwh,shoulder,1.0,43640.85175085891,41027.720215297886,41368.62068201877,40678.732133957405,43640.85175085891,41027.720215297886,2613.1315355610204,optimal
bess_200mw_800mwh,summer,0.0,27991.795422817697,28232.95136198365,74921.44023768387,74510.31024927579,74921.44023768387,74510.31024927579,411.12998840807995,optimal
bess_200mw_800mwh,summer,0.1,27991.795422817697,27400.23290747204,74921.44023768387,74516.82354487575,70228.47575619725,69805.16448113539,423.3112750618602,optimal
bess_200mw_800mwh,summer,0.2,27991.795422817697,26861.375326128044,74921.44023768387,74610.3281217316,65535.51127471064,65060.53756261089,474.97371209975245,optimal
bess_200mw_800mwh,summer,0.3,27991.795422817697,26341.018282604055,74921.44023768387,74661.06211054041,60842.54679322401,60165.048962159504,677.4978310645092,optimal
bess_200mw_800mwh,summer,0.4,27991.795422817697,25119.60401698684,74921.44023768387,74236.44040963394,56149.5823117374,54589.705852575105,1559.8764591622967,optimal
bess_200mw_800mwh,summer,0.5,27991.795422817697,24957.462426178725,74921.44023768387,74295.7856274528,51456.61783025078,49626.62402681576,1829.9938034350198,optimal
bess_200mw_800mwh,summer,0.6,27991.795422817697,24721.158703570098,74921.44023768387,74344.93085857204,46763.65334876417,44570.667565570875,2192.985783193297,optimal
bess_200mw_800mwh,summer,0.7,27991.795422817697,23575.717646754183,74921.44023768387,74480.368370819,42070.68886727755,38847.11286397363,3223.576003303926,optimal
bess_200mw_800mwh,summer,0.8,27991.795422817697,23404.128555375886,74921.44023768387,74537.39529340953,37377.724385790934,33630.78190298261,3746.942482808321,optimal
bess_200mw_800mwh,summer,0.9,27991.795422817697,23315.844168635893,74921.44023768387,74562.50282068424,32684.759904304312,28440.51003384073,4244.249870463584,optimal
bess_200mw_800mwh,summer,1.0,27991.795422817697,23315.248211996623,74921.44023768387,74562.56396358732,27991.795422817697,23315.248211996623,4676.547210821074,optimal
bess_200mw_800mwh,winter,0.0,71880.68079614085,72193.61431291973,80944.52456479322,80850.38510240309,80944.52456479322,80850.38510240309,94.13946239012876,optimal
bess_200mw_800mwh,winter,0.1,71880.68079614085,71719.40109076069,80944.52456479322,80844.59336503636,80038.14018792797,79932.0741376088,106.0660503191757,optimal
bess_200mw_800mwh,winter,0.2,71880.68079614085,71641.53383505624,80944.52456479322,80858.79271749557,79131.75581106274,79015.3409410077,116.41487005504314,optimal
bess_200mw_800mwh,winter,0.3,71880.68079614085,71599.40038447763,80944.52456479322,80864.64961835495,78225.3714341975,78085.07484819175,140.29658600574476,optimal
bess_200mw_800mwh,winter,0.4,71880.68079614085,71525.2007413351,80944.52456479322,80815.06786493385,77318.98705733227,77099.12101549434,219.86604183792952,optimal
bess_200mw_800mwh,winter,0.5,71880.68079614085,71344.73703498156,80944.52456479322,80675.77076820392,76412.60268046704,76010.25390159275,402.3487788742932,optimal
bess_200mw_800mwh,winter,0.6,71880.68079614085,71264.93737345203,80944.52456479322,80636.21761114043,75506.2183036018,75013.4494685274,492.76883507439925,optimal
bess_200mw_800mwh,winter,0.7,71880.68079614085,71160.4533800538,80944.52456479322,80539.23182228231,74599.83392673657,73974.08691272236,625.7470140142104,optimal
bess_200mw_800mwh,winter,0.8,71880.68079614085,70835.16067164337,80944.52456479322,80267.32064802537,73693.44954987132,72721.59266691978,971.8568829515425,optimal
bess_200mw_800mwh,winter,0.9,71880.68079614085,70649.47221816493,80944.52456479322,80332.16514289056,72787.06517300609,71617.7415106375,1169.3236623685953,optimal
bess_200mw_800mwh,winter,1.0,71880.68079614085,70383.35236964485,80944.52456479322,80400.4467085375,71880.68079614085,70383.35236964485,1497.3284264959948,optimal
bess_200mw_800mwh,shoulder,0.0,43640.85175085891,42185.803045427274,41368.62068201877,39838.18698665757,41368.62068201877,39838.18698665757,1530.4336953612,optimal
bess_200mw_800mwh,shoulder,0.1,43640.85175085891,42112.46640400012,41368.62068201877,39830.229152793116,41595.84378890279,40058.45287791382,1537.3909109889719,optimal
bess_200mw_800mwh,shoulder,0.2,43640.85175085891,41853.30954993242,41368.62068201877,39918.63158654285,41823.066895786804,40305.567179220765,1517.4997165660388,optimal
bess_200mw_800mwh,shoulder,0.3,43640.85175085891,41726.65039913387,41368.62068201877,39935.3659900768,42050.29000267081,40472.75131279392,1577.538689876892,optimal
bess_200mw_800mwh,shoulder,0.4,43640.85175085891,41626.55803883608,41368.62068201877,39981.76845554249,42277.51310955483,40639.68428885993,1637.8288206949,optimal
bess_200mw_800mwh,shoulder,0.5,43640.85175085891,41330.259757824824,41368.62068201877,40093.47404846182,42504.73621643884,40711.866903143324,1792.869313295516,optimal
bess_200mw_800mwh,shoulder,0.6,43640.85175085891,41211.825388901765,41368.62068201877,40184.90838756902,42731.95932332285,40801.058588368665,1930.9007349541862,optimal
bess_200mw_800mwh,shoulder,0.7,43640.85175085891,40922.46200110276,41368.62068201877,40363.404011307764,42959.18243020686,40754.74460416426,2204.437826042602,optimal
bess_200mw_800mwh,shoulder,0.8,43640.85175085891,40847.65926967141,41368.62068201877,40382.053705757746,43186.40553709088,40754.53815688867,2431.8673802022095,optimal
bess_200mw_800mwh,shoulder,0.9,43640.85175085891,40829.84627355001,41368.62068201877,40400.964162396864,43413.62864397489,40786.95806243469,2626.6705815401947,optimal
bess_200mw_800mwh,shoulder,1.0,43640.85175085891,40797.520290144006,41368.62068201877,40465.50591415618,43640.85175085891,40797.520290144006,2843.3314607149005,optimal
